SOR_ID,SOR_Name,SOR_Description,SOR_Type,SOR_DBMS,SOR_DBName,SOR_DBSchema,SOR_FileType,SOR_Filename,SOR_AppName,SOR_AppModule
4355,FactOnlineSalesOrderDetail_NA,FactOnlineSales_NA,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - factonlinesalesorderdetail,,,,
4542,FactOnlineSalesOrderDetail_Asia,FactSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factonlinesalesorderdetail,,,,
6587,FactResellerSales_Asia,FactSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factresellersales,,,,
345,FactStoreSales_Asia,FactSales_AS,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factstoresales,,,,
3456,FactCatalogSales_Asia,FactSales_AS,,PostgreSQL,retail_sor_cat_postgre,retail_sor_cat_postgre - factcatalogsales,,,,
753,FactOnlineSalesOrderDetail_EU,FactSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factonlinesalesorderdetail,,,,
4435,FactResellerSales_Asia_EU,FactSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factresellersales,,,,
255,FactStoreSales_Asia_EU,FactSales_EU,,MSSQL,retail_sor_eu_sqlserver,retail_sor_eu_sqlserver - factstoresales,,,,
8974,FactOnlineSalesOrderDetail_NA,FactSales_NA,,Oracle,retail_sor_na_orcl,retail_sor_na_orcl - factonlinesalesorderdetail,,,,
3423,FactResellerSales_Asia_NA,FactSales_NA,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factresellersales,,,,
4525,FactStoreSales_Asia_NA,FactSales_NA,,MySQL,retail_sor_as_mysql,retail_sor_as_mysql - factstoresales,,,,
3534,FactSalesQuota,FactSalesQuota,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - factsalesquota,,,,
354,FactStrategyPlan,FactStrategyPlan,,PostgreSQL,retail_sor_plan_postgre,retail_sor_plan_postgre - factstrategyplan,,,,
